ticker,shares
ENVX,218153440
EONR,49968344
EOSE,364167744
EPAM,51586981
EPSM,13423034
EQT,625516000
EQX,1167459822
ERAS,349762035
ERIC,3263333072
ERNA,1166333
ESI,243690914
ESTC,104991280
ET,3443299601
ETN,388400000
ETR,477777482
EU,194233004
EVC,92288305
EVGN,15801407
EVTL,168640928
EYPT,86212138
EZRA,820948
F,3987595667
FABC,7003613
FAMI,37437950
FANG,280019792
FAST,1147497573
FATN,14128468
FBDT,55776201
FBGL,13500000
FCEL,79954196
FCHL,1318742
FCUV,702745
FCX,1436017523
FDX,236670435
FEMY,8375027
FERG,193452717
FGI,1931271
FICO,21597635
FIG,533009867
FIRY,16622257
FISV,531766721
FIX,35194329
FLD,54868427
FLEX,369402978
FLNC,143163588
FLO,212057418
FLUT,173539102
FLYE,1632386
FMFC,18300000
FN,35834864
FNGR,76162686
FOXA,421673622
FOXX,7041192
FPS,274527094
FRMI,640467348
FRMM,13198948
FRSH,260920772
FRSX,4126507
FRTT,15042582
FRVO,294763199
FSLR,107469788
FSLY,159300000
FTFT,8077492
FTHM,34207238
FTI,392164388
FTNT,733713653
FULC,76297257
FUSE,28985302
FUTU,140194488
GAME,12783984
GAP,351270137
GBTG,522373443
GCDT,12875000
GCL,128008703
GCTK,798390
GCTS,91969726
GD,270557195
GE,1037562513
GEHC,451686252
GELS,10711059
GERN,642473409
GETY,414811306
GEV,266333581
GFS,557418603
GGB,1961802300
GGG,161953824
GH,134196170
GILD,1239955155
GIPR,3038140
GIS,533708396
GITS,4203104
GLE,18300000
GLND,43730194
GLPI,290920043
GLW,861388331
GLXG,5961515
GM,904451541
GME,504500990
GMEX,905330
GMHS,57319213
GMM,4454997
GNRC,59063935
GNS,191947508
GNTA,48216858
GOOG,12229934831
GOOGL,12229934831
GOVX,9093871
GP,9884038
GPRO,206356364
GPUS,136937180
GRAB,4091302000
GRML,3177013
GS,291171408
GSUN,10028870
GT,287898737
GTLB,166615000
GTM,291110046
GVH,2415472
GXAI,13752288
GYGY,14392000
HAIN,91002269
HAL,833130367
HBAN,2020414826
HCA,216501500
HCAI,10913276
HCAT,75256381
HCTI,14644322
HCWB,1836324
HD,997689626
HDB,5138859944
HIHO,4626676
HIMS,233313413
HIMX,174425914
HIVE,274277338
HKPD,49317457
HL,671768431
HLN,4397624392
HLP,74738750
HLT,225064910
HON,316940010
HONA,316952725
HOOD,899082273
HOWL,48599066
HPAI,37646910
HPE,1327464779
HPQ,901790969
HRL,550350800
HSCS,4800172
HTZ,356451393
HUBC,1787427
HUBS,49866201
HUDI,14319182
HUIZ,10106076
HUM,120080308
HUMA,277798105
HUN,175378616
HUT,123259468
HWM,398801399
HXHX,14720000
HYFM,4819323
HYLN,178597218
IAUX,865901683
IBM,942134390
IBRX,1059836273
ICCM,3426715
ICE,561394487
IGC,103384008
ILLR,20487382
ILMN,151000000
IMA,11374130
IMCC,603921
IMMP,147372131
IMRN,8071202
IMVT,206552682
INDP,133242324
INFQ,225357052
INFY,4050343559
INHD,4520698
INLF,1090298
INM,5493735
INO,103397518
INOD,34382651
INSM,218381503
INTC,5254526315
INTU,267236000
INTZ,24506953
INV,84612657
IONQ,405135656
IONS,166184322
IOT,585605209
IOTR,4863874
IOVA,452971432
IPDN,665811
IPST,721578
IPW,1165247
IQ,965024735
IQST,6735946
IRD,83195823
IREN,394058650
ISRG,358278038
ITGR,33997068
ITOC,17050000
ITP,16965420
IVDA,12519027
IVF,2295035
IVVD,294758746
IZM,2403622
JAZZ,64914577
JBHT,93914939
JBLU,377312181
JCI,605741470
JD,1350500000
JEM,671984
JHX,580522488
JLHL,21448632
JMKE,232834177
JNJ,2409898597
JOBY,993874445
JPM,2658186195
JRSH,12699940
JSPR,33274561
JTAI,1421721
JUNS,1318521
JWEL,2376131
JZ,2408313
JZXN,51512759
KDP,1360826038
KEEL,617573212
KEY,1067128554
KEYS,170244745
KHC,1185823758
KKR,897635601
KLAC,1306546783
KLAR,379160066
KMB,332579038
KMI,2226802089
KNDI,100415365
KNRX,30423113
KO,4302549243
KOPN,185872614
KOS,595487651
KPRX,4431940
KPTI,22681460
KRSA,45541425
KRYS,29598836
KSCP,23618357
KTTA,33414448
KUST,6506860
KVUE,1920773467
KXIN,45278552
LABT,2369688
LAC,363042943
LAES,224930564
LASE,60670338
LCID,394070176
LEDS,8273403
LESL,9365475
LFS,26160619
LFST,380154147
LGO,103134000
LGPS,23610870
LHAI,16530000
LHSW,13493666
LICN,16436825
LIDR,46672169
LIN,460980163
LITE,89700000
LLY,891741406
LMT,230790753
LNAI,4533890
LNG,206534158
LNKS,1606613
LOBO,14441938
LOCL,23380119
LOOP,48380371
LOW,560707041
LRCX,1251321000
LRHC,3317834
LUCY,8609196
LULU,110710025
LUMN,1031445404
LUNR,160452309
LVWR,205412457
LWLG,154167255
LX,164788274
LXEH,1916667
LXRX,444955934
LYB,323037952
LYFT,378540249
LYG,14442770500
MA,876009940
MAIR,501722612
MAMO,41640950
MAR,260766288
MARA,386299297
MASK,3595885
MB,17155000
MBGL,320000000
MBLY,850187598
MCD,707641531
MCHP,543008691
MCK,116590363
MDB,80431927
MDCX,71710022
MDLN,877351218
MDLZ,1276308057
MDT,1279137890
MDXH,95417382
MEDS,3197633
MELI,50696802
MERC,67018033
META,2547506225
MF,1818032
MGM,255851235
MGRX,21567422
MGY,269171592
MIMI,14792621
MIRA,42022087
MKTX,35197197
MLSS,90611070
MMA,26483541
MMM,515722417
MNKD,321544484
MNST,1959051764
MNTS,21963401
MO,1669743926
MOBX,17952045
MOD,53112708
MOH,52200000
MPC,280824763
MPT,597200000
MPU,3399959
MPWR,49143000
MRAM,24350009
MREO,159690973
MRK,2467171638
MRLN,101067784
MRNA,399235889
MRNO,79718832
MRVL,898704613
MS,1570566292
MSFT,7425545491
MSGY,2119625
MSI,165493788
MSS,870539
MSTR,397281660
MTEN,7639410
MTNB,14692796
MTVA,6588101
MTZ,80304948
MU,1129393151
MWC,59419414
MWYN,20194804
MXL,90693191
MYND,47144605
MYSE,5196430
MYSZ,674347
NAMI,3794794
NAMM,55852406
NAVN,260410493
NBIS,271855218
NCLH,459187846
NCPL,7847899
NCRA,2376148
NEE,2085978209
NEM,1053692271
NEOV,54906423
NET,356079715
NEXR,557464
NFLX,4163939676
NG,438780614
NIO,2505667022
NIXX,28908839
NKE,1483498703
NMAX,129160645
NMRA,187895912
NNBR,82580446
NNDM,210839011
NNVC,25527353
NOC,142063026
NOK,5598644598
NOW,1033862000
NPT,22185000
NRG,210210483
NRIX,103781683
NTAP,196419005
NTIP,22863181
NTLA,140126693
NU,4830688659
NUAI,106559339
NUR,13194700
NUVB,351123233
NUWE,3175134
NVDA,24147000000
NVNI,12220487
NVO,4416785124
NVS,1900714840
NVT,161857939
NVTS,262555476
NWGL,28853163
NWL,425900000
NWSA,535972520
NXGL,9747663
NXH,97000000
NXPI,252164174
NXT,151729520
NXTC,4577359
NXTS,1453333
NXXT,17000000
OABI,145390398
OCG,1938312
OCGN,339110401
ODFL,207356622
ODYS,16806905
OFAL,2637052
OGG,305837837
OGI,144152692
OGN,262609433
OKLO,186017650
OKTA,174820928
OLB,24020313
OLOX,1659347
OMEX,58691389
ON,389318613
ONCO,4380522
ONDS,582290866
ONFO,2452712
ONMD,59286450
ONON,334214703
ONTO,61123436
OPEN,971091050
OPK,746328225
OPTT,9004628
OPTU,381431560
ORBS,429777400
ORC,197407315
ORCL,3023736000
ORGO,128674548
ORLY,808960792
OTLK,243447554
OWL,683908596
OXBR,8138577
OXY,999637371
P,333227251
PAAI,47610653
PANW,818000000
PAPL,25271197
PASW,125117000
PATH,521155409
PAVS,862973
PAYO,338850836
PBK,53956787
PBM,3814328
PBR,6444366381
PCG,3002366906
PCLA,9613805
PCT,200904810
PDD,1423396462
PDSB,72474208
PENG,51242699
PEP,1364891558
PEPG,69259517
PETS,21678914
PETZ,10323268
PFE,5699673589
PFSA,605726
PG,2322672312
PGR,580400000
PH,126112415
PHIO,11617251
PIII,3911962
PINS,566313027
PL,363847989
PLAG,14232715
PLD,950333372
PLSM,6502844
PLTR,2403058480
PLUG,1397195278
PM,1558613439
PMA,162975000
PMAX,1715333
PMEC,38417987
PMI,2338634
PN,14754025
PNC,398943667
PNR,159600000
POET,173058088
POLA,4309319
PPBT,1626867
PPCB,2278372
PPL,752544841
PR,837557029
PRFX,3499144
PROP,112798010
PRSO,15120462
PRZO,29162475
PSA,186852295
PSKY,1121945779
PSX,399020916
PTEN,381384874
PTON,438871801
PUMP,122823917
PURR,200563691
PUSA,27643582
PWR,150343393
PYPL,855460874
QBTS,379626628
QCLS,8189838
QCOM,1068060487
QH,88028561135
QNC,219419670
QNME,34427559
QNRX,2008418
QNT,39263385
QS,615145076
QTEX,67075045
QTTB,29769466
QUBT,226346861
QUCY,84068192
QXO,1037490709
RARE,98588873
RAYA,1054710
RBLX,714375941
RCAT,152714362
RCL,267452084
RCON,453137
RCT,68380615
RDAC,5951030
RDDT,192396510
RDGT,3629540
RDHL,6080920
RDW,249992609
RECT,15482750
REFR,34867786
REGN,102954988
REI,260539607
REKR,137608115
RELY,211684054
RENX,2646209
REPL,94219634
RETO,36098309
RF,851929506
RGNT,7023921
RGTI,333768747
RIG,1116880085
RIOT,375258935
RIVN,1447860630
RKDA,2409211
RKLB,639301732
RKT,2831642421
RKTO,24897581
RMCF,9439587
RMSG,16168670
RNW,364561156
ROIV,722323015
ROKU,148510633
ROLR,11029313
ROST,319453110
RPAY,82898508
RPGL,16147889
RR,225101943
RTX,1347758144
RUBI,1791406
RUM,275743936
RUN,238549287
RVMD,214336418
RWT,125612432
RXRX,536271087
RXT,254872850
RYET,37280004
RYOJ,11550000
RZLV,398827587
S,348049117
SABR,403583214
SAFX,415296896
SAGT,22750000
SAN,14508705510
SANA,299360637
SANM,53597356
SAP,1154204232
SATL,153739911
SBAC,106088110
SBFM,3877337
SBS,3516593233
SBUX,1140000000
SCAG,72609665
SCHW,1729335714
SCKT,8291681
SCNI,677581
SCNX,41064146
SDEV,50449780
SDOT,1454828
SDST,14523933
SE,612484522
SEER,55372015
SES,371287400
SGLY,5403788
SGMT,62158653
SHEL,2855788152
SHFS,6455796
SHOP,1286643931
SHPH,585129
SHW,242758151
SID,1326093947
SIDU,101225326
SION,45150330
SIRI,337066891
SKHY,7110755000
SKIN,130140763
SKK,3960596
SKYQ,8833390
SLB,1484143231
SLBT,560759757
SLE,46554520
SLGB,45000000
SLND,54435257
SLNH,244590575
SLQT,176573132
SLS,196632574
SLXN,5560256
SMCI,656965384
SMMT,797749602
SMR,410389522
SMTC,93325626
SN,141520379
SNAL,8955811
SNAP,1691197712
SNDK,146419001
SNGX,14824174
SNOW,352800000
SNPS,191636646
SOAR,53633248
SOC,191869572
SOFI,1291570324
SOLS,158847369
SOUN,444112161
SPCE,151595903
SPCX,13181779945
SPGI,294800000
SPHL,2261981
SPOT,205584205
SPRC,580973
SPWR,208796937
SQFT,1309511
SRAD,295951662
SRFM,123644243
SRXH,20265391
SSM,1464834
SST,8708922
STAK,19210349
STI,8512771
STIM,76197222
STKH,591689
STLA,3767323870
STM,891928108
STNE,230595632
STRL,30588518
STUB,375437301
STX,227393014
SUGP,1605154
SUI,121800957
SUNB,409764897
SUNE,6513108
SURG,52908423
SVRE,2499835
SWKS,150472782
SWRD,211149963
SWVL,18954661
SYK,383573046
SYY,479568281
T,6852385650
TAP,186453933
TC,26422945
TDIC,3413583
TDOC,181684021
TDTH,58428418
TDUP,131333650
TE,294476525
TEAM,253138815
TECH,156818238
TEL,289513228
TEM,180434756
TENB,110139983
TENX,37423917
TER,156340750
TEVA,1166292643
TGHL,25299811
TGT,454296736
THC,80519000
TIGR,179845356
TJX,1099974061
TKO,73111098
TLIH,2940435
TLRY,140422563
TMC,441135482
TMDE,23565000
TME,1629765093
TMO,369747286
TMUS,1072671613
TNGX,168610367
TNMG,6084581
TNON,667047
TOON,62204105
TOPP,24700000
TOPS,7613488
TORO,34559330
TOST,578000000
TOVX,45892668
TPET,5323907
TPR,199391678
TPST,16539767
TRAW,15368277
TRMB,233111519
TRT,10112599
TRUG,1923707
TRV,208575022
TSCO,521040137
TSEM,113031240
TSLA,3949547394
TSM,5186474013
TT,220023177
TTAN,96467903
TTD,472795104
TTMI,105348864
TTWO,186980443
TU,1575000000
TURB,12017140
TVRD,13338943
TWAV,3877219
TWG,62746550
TWLO,153575220
TXN,913247686
TYL,40952274
U,440088933
UAA,429545541
UAL,324569728
UAMY,148185622
UAVS,62905706
UBER,2042560121
UCAR,1774937
UCL,38092250
UDR,321264222
UEC,494872366
UFG,32465000
ULCC,230215771
UMAC,49956505
UMC,2507908580
UNH,897594847
UNP,594075498
UPC,5024390
UPS,850781582
UPWK,124903365
URG,397863720
URI,62242489
USAR,375392734
USBC,388144430
USDE,24029375
UTZ,143962213
UWMC,344653052
V,1877355259
VAI,14557489
VALE,4255762807
VCIG,9284913
VEEA,3110708
VEEE,584321
VEEV,161908850
VERU,17050320
VFC,393134570
VG,2500092851
VGNT,70835265
VIAV,246749828
VICI,1101077562
VIDA,14582932
VIOT,65948558
VISN,230626412
VIVK,2737649
VIVS,13390789
VLN,108280056
VLO,287927461
VMRK,773779120
VNET,284691643
VNRX,27903326
VNTG,30983121
VOD,2311033297
VRAX,796988
VRME,13165196
VRRM,151982804
VRSK,130156012
VRT,384988173
VRTX,253460924
VSA,2792936
VSME,2765070
VST,335635195
VTAK,3609471
VTGN,44376911
VTRS,1148590864
VVOS,20118023
VZ,4154775202
W,136968070
WAFU,4410559
WALD,128259872
WBD,2507136702
WBUY,5481104
WCT,56155414
WDAY,241000000
WDC,360540944
WEAV,80013701
WELL,720572011
WEN,190669930
WETO,1077801
WFC,3023999336
WFF,9070276
WIT,9893340252
WKSP,15282595
WLDS,2459741
WMB,1223167472
WMT,7933746241
WNW,26330471
WOLF,52930569
WPRT,18995734
WRAP,61776482
WSHP,11717133
WU,311878981
WULF,498968677
WWR,128564833
WXM,8117587
WYHG,35581166
XE,406366108
XHG,51547926
XHLD,11979943
XNDU,304393300
XOM,4111911960
XOS,14217852
XP,495691324
XPEV,957976730
XPO,117086465
XPON,953191
XRTX,1816565
XRX,131314511
XTLB,2457463
XTNT,140287960
YAAS,15714637
YCBD,11205045
YDDL,56033333
YFOR,7837380
YJ,4925540
YMAT,4010103
YMM,1045894194
YOUL,81016310
YRD,87488461
YXT,6610266
YYAI,52678
ZBAO,466081317
ZCMD,8873476
ZENA,88884193
ZEO,41703489
ZETA,251013605
ZJYL,73663428
ZNB,969860
ZNTL,94671914
ZONE,502090260
ZS,163054698
ZSTK,21797224
ZTG,24087179
ZTS,413223602
ZYBT,47391377
